ebird2021_genera
passer
malacocincla
papasula
poeoptera
horornis
cryptospiza
ciconia
cisticola
turdus
melozone
geokichla
oriolus
rhinopomastus
geospizopsis
anairetes
sylvia
macronyx
caprimulgus
coracias
serinus
melaenornis
zosterops
chloropicus
empidonax
melanerpes
thamnophilus
hemitriccus
pygoscelis
setophaga
streptopelia
anas
elminia
glaucidium
cyanistes
bradypterus
trochocercus
muscicapa
curruca
chrysococcyx
columba
haliaeetus
lagonosticta
fraseria
bradornis
lophoceros
tyto
montifringilla
ploceus
polyboroides
circus
terpsiphone
ispidina
lamprotornis
cypsiurus
anthoscopus
motacilla
smithornis
crithagra
crex
cuculus
aviceda
podica
accipiter
treron
aquila
falco
actophilornis
pseudochelidon
anastomus
haematopus
verreauxia
anthus
pitta
nettapus
rallus
otus
megabyas
euodice
rynchops
gallinago
platalea
saxicola
apus
artisornis
acrocephalus
strix
iduna
agamia
uromyias
certhilauda
pternistis
herpsilochmus
loxops
bubo
hemignathus
oreomystis
myrmotherula
mitu
tachybaptus
phylloscartes
menura
nesillas
dicrurus
asio
polytelis
psittacula
onychoprion
hylopezus
philydor
sitta
percnostola
porphyrio
selasphorus
myzomela
prunella
phylloscopus
lonchura
petroica
scytalopus
zoothera
phoenicurus
icterus
tetraogallus
geothlypis
myrmothera
dendrocolaptes
amazilis
chloroceryle
nannopsittaca
hedydipna
inezia
cephalopterus
scolopax
knipolegus
recurvirostra
botaurus
corvus
cinclus
phapitreron
spinus
chalcomitra
mareca
calliphlox
pluvialis
larus
sublegatus
lampornis
spizelloides
heliangelus
pelecanus
estrilda
stactolaema
xenocopsychus
macropygia
orthorhyncus
synthliboramphus
anthreptes
brachypodius
vultur
rupicola
centropus
rallina
coracina
oxyura
uranomitra
phoenicoparrus
colaptes
dicaeum
oressochen
penelope
chroicocephalus
ninox
oreotrochilus
vanellus
lessonia
bolborhynchus
nyctibius
copsychus
myadestes
orochelidon
aeronautes
nothoprocta
dendrocitta
dryocopus
batis
prionops
mirafra
macronectes
hirundo
anhinga
magumma
cinnyris
calypte
tachornis
spilornis
eurillas
grallaria
atlapetes
chlorophonia
anthracothorax
chordeiles
cyanoramphus
thalassoica
nesoctites
leucocarbo
leptasthenura
sterna
thryophilus
himatione
myiarchus
goodfellowia
struthidea
cistothorus
xanthomixis
synallaxis
argya
ardeotis
rhipidura
antilophia
alectoris
dendrocoptes
archboldia
buteo
gavia
newtonia
eurostopodus
astrapia
ailuroedus
melipotes
dryobates
turdoides
cossypha
picumnus
myrmoborus
cranioleuca
mundia
coccycua
eremopterix
myornis
irena
pycnonotus
aplonis
pellorneum
hemixos
chloephaga
hylophilus
delichon
pericrocotus
prinia
orthotomus
melaniparus
phyllomyias
mulleripicus
artamus
limnodromus
surniculus
fregata
eudynamys
urosphena
gracupica
leucosticte
trochalopteron
hydrobates
casiornis
mustelirallus
conopophaga
sinosuthora
euchrepomis
chlorospingus
ptilinopus
sericornis
podilymbus
aerodramus
ficedula
pterodroma
fratercula
picoides
ichthyaetus
puffinus
mergus
lewinia
alisterus
aegotheles
curaeus
alectura
asthenes
porzana
sphecotheres
morus
threskiornis
elanus
gymnorhina
enicognathus
rostratula
stiltia
tadorna
spatula
hieraaetus
saucerottia
cyanolyca
cyanocorax
tanygnathus
poecilostreptus
thraupis
ridgwayia
ceyx
cyanopica
zapornia
cacomantis
coccyzus
ramsayornis
pulsatrix
arborophila
hydrornis
lanius
neocichla
tangara
hylexetastes
meiglyptes
campylorhynchus
gymnocichla
spizaetus
peucaea
apaloderma
vermivora
rhegmatorhina
streptocitta
patagioenas
aythya
gymnocrex
nok
crax
micrastur
phimosus
leonardina
lipaugus
neomorphus
bangsia
anser
melanocichla
mimus
nyctiprogne
tachycineta
eleoscytalopus
heliobletus
nesophlox
myiodynastes
ducula
calidris
centronyx
sibirionetta
trogon
vidua
geronticus
malimbus
leucopsar
margarobyas
pyrilia
neafrapus
cymbilaimus
apalis
gecinulus
coereba
cercomacra
dichrozona
lybius
eurylaimus
phalacrocorax
cotinga
gymnoderus
cissomela
cyornis
lacedo
neophedina
acridotheres
philortyx
cladorhynchus
cyanomitra
riparia
tauraco
aphelocephala
chrysophlegma
chamaeza
pachyramphus
cymbirhynchus
loxigilla
turnix
geopelia
poospiza
pipreola
bucephala
branta
morphnarchus
pernis
gliciphila
calendulauda
ianthocincla
nystalus
gallirallus
chaetura
crypturellus
circaetus
megascops
locustella
hypocnemoides
threnetes
procnias
ochetorhynchus
terathopius
limosa
macheiramphus
