ebird2021_families
passeridae
pellorneidae
sulidae
sturnidae
scotocercidae
estrildidae
ciconiidae
cisticolidae
turdidae
passerellidae
oriolidae
phoeniculidae
thraupidae
tyrannidae
sylviidae
motacillidae
caprimulgidae
coraciidae
fringillidae
muscicapidae
zosteropidae
picidae
thamnophilidae
spheniscidae
parulidae
columbidae
anatidae
stenostiridae
strigidae
paridae
locustellidae
monarchidae
cuculidae
accipitridae
bucerotidae
tytonidae
ploceidae
alcedinidae
apodidae
remizidae
calyptomenidae
rallidae
heliornithidae
falconidae
jacanidae
hirundinidae
haematopodidae
pittidae
vangidae
laridae
scolopacidae
threskiornithidae
acrocephalidae
ardeidae
alaudidae
phasianidae
cracidae
podicipedidae
menuridae
dicruridae
psittaculidae
grallariidae
furnariidae
sittidae
trochilidae
meliphagidae
prunellidae
phylloscopidae
petroicidae
rhinocryptidae
icteridae
psittacidae
nectariniidae
cotingidae
recurvirostridae
corvidae
cinclidae
charadriidae
pelecanidae
lybiidae
alcidae
pycnonotidae
cathartidae
campephagidae
phoenicopteridae
dicaeidae
nyctibiidae
tinamidae
platysteiridae
procellariidae
anhingidae
phalacrocoracidae
troglodytidae
corcoracidae
bernieridae
leiothrichidae
otididae
rhipiduridae
pipridae
ptilonorhynchidae
gaviidae
paradisaeidae
irenidae
vireonidae
artamidae
fregatidae
hydrobatidae
conopophagidae
acanthizidae
aegothelidae
megapodiidae
rostratulidae
glareolidae
laniidae
trogonidae
timaliidae
mimidae
viduidae
eurylaimidae
odontophoridae
musophagidae
formicariidae
tityridae
turnicidae
bucconidae
certhiidae
pachycephalidae
ptiliogonatidae
meropidae
ramphastidae
oceanitidae
cardinalidae
phaenicophilidae
panuridae
burhinidae
mohoidae
diomedeidae
aegithalidae
donacobiidae
polioptilidae
malaconotidae
climacteridae
melanocharitidae
maluridae
numididae
megalaimidae
machaerirhynchidae
pteroclidae
gruidae
cacatuidae
emberizidae
galbulidae
chionidae
capitonidae
cinclosomatidae
neosittidae
cariamidae
chloropseidae
coliidae
oxyruncidae
momotidae
bombycillidae
pityriasidae
todidae
stercorariidae
mesitornithidae
ifritidae
sarothruridae
acanthisittidae
macrosphenidae
promeropidae
indicatoridae
podargidae
pomatostomidae
calcariidae
pnoepygidae
psophodidae
orthonychidae
melanopareiidae
aegithinidae
dromadidae
oreoicidae
paramythiidae
platylophidae
cnemophilidae
hemiprocnidae
falcunculidae
leptosomidae
modulatricidae
psophiidae
mitrospingidae
casuariidae
calyptophilidae
dasyornithidae
nicatoridae
pluvianidae
upupidae
regulidae
pardalotidae
melampittidae
rheidae
apterygidae
thinocoridae
picathartidae
scopidae
spindalidae
opisthocomidae
anhimidae
callaeidae
hypocoliidae
ibidorhynchidae
rhynochetidae
strigopidae
aramidae
brachypteraciidae
anseranatidae
pluvianellidae
eupetidae
rhagologidae
bucorvidae
atrichornithidae
steatornithidae
hylocitreidae
peucedramidae
chaetopidae
teretistridae
pandionidae
struthionidae
dulidae
mohouidae
pedionomidae
semnornithidae
urocynchramidae
nesospingidae
buphagidae
phaethontidae
rhodinocichlidae
sapayoidae
philepittidae
sagittariidae
balaenicipitidae
hyliotidae
elachuridae
notiomystidae
eurypygidae
tichodromidae
eulacestomatidae
zeledoniidae
icteriidae
